
#
# Format: DEVICE_NAME, PROGRAM_MEMORY_WORDS, DATA_MEMORY_BYTES, EEPROM_BYTES, ARCHITECTURE
# Generated from: Microchip Device Family Pack (DFP) .PIC files
PIC10F200, 256, 32, 0, PIC16
PIC10F202, 512, 32, 0, PIC16
PIC10F204, 256, 32, 0, PIC16
PIC10F206, 512, 32, 0, PIC16
PIC10F220, 256, 32, 0, PIC16
PIC10F222, 512, 32, 0, PIC16
PIC10F320, 256, 128, 0, PIC16
PIC10F322, 512, 128, 0, PIC16
PIC10LF320, 256, 128, 0, PIC16
PIC10LF322, 512, 128, 0, PIC16
PIC12C508, 512, 0, 0, PIC16
PIC12C508A, 512, 0, 0, PIC16
PIC12C509, 1024, 0, 0, PIC16
PIC12C509A, 1024, 0, 0, PIC16
PIC12C671, 1024, 256, 0, PIC16
PIC12C672, 2048, 256, 0, PIC16
PIC12CE518, 512, 0, 0, PIC16
PIC12CE519, 1024, 0, 0, PIC16
PIC12CE673, 1024, 256, 0, PIC16
PIC12CE674, 2048, 256, 0, PIC16
PIC12CR509A, 1024, 0, 0, PIC16
PIC12F1501, 1024, 4096, 0, PIC16
PIC12F1571, 1024, 4096, 0, PIC16
PIC12F1572, 2048, 4096, 0, PIC16
PIC12F1612, 2048, 4096, 0, PIC16
PIC12F1822, 2048, 4096, 0, PIC16
PIC12F1840, 2048, 4096, 0, PIC16
PIC12F508, 512, 0, 0, PIC16
PIC12F509, 512, 0, 0, PIC16
PIC12F510, 512, 0, 0, PIC16
PIC12F519, 512, 0, 0, PIC16
PIC12F529T39A, 512, 0, 0, PIC16
PIC12F529T48A, 512, 0, 0, PIC16
PIC12F609, 1024, 256, 0, PIC16
PIC12F615, 1024, 256, 0, PIC16
PIC12F617, 2048, 256, 0, PIC16
PIC12F629, 1024, 256, 0, PIC16
PIC12F635, 1024, 512, 0, PIC16
PIC12F675, 1024, 256, 0, PIC16
PIC12F683, 2048, 256, 0, PIC16
PIC12F752, 1024, 512, 0, PIC16
PIC12HV609, 1024, 256, 0, PIC16
PIC12HV615, 1024, 256, 0, PIC16
PIC12HV752, 1024, 512, 0, PIC16
PIC12LF1501, 1024, 4096, 0, PIC16
PIC12LF1552, 2048, 4096, 0, PIC16
PIC12LF1571, 1024, 4096, 0, PIC16
PIC12LF1572, 2048, 4096, 0, PIC16
PIC12LF1612, 2048, 4096, 0, PIC16
PIC12LF1822, 2048, 4096, 0, PIC16
PIC12LF1840, 2048, 4096, 0, PIC16
PIC12LF1840T39A, 2048, 4096, 0, PIC16
PIC12LF1840T48A, 2048, 4096, 0, PIC16
PIC16C432, 2048, 256, 0, PIC16
PIC16C433, 2048, 256, 0, PIC16
PIC16C505, 1024, 0, 0, PIC16
PIC16C54, 512, 0, 0, PIC16
PIC16C54C, 512, 0, 0, PIC16
PIC16C554, 512, 256, 0, PIC16
PIC16C55, 512, 0, 0, PIC16
PIC16C557, 2048, 256, 0, PIC16
PIC16C558, 2048, 256, 0, PIC16
PIC16C55A, 512, 0, 0, PIC16
PIC16C56, 512, 0, 0, PIC16
PIC16C56A, 512, 0, 0, PIC16
PIC16C57, 512, 0, 0, PIC16
PIC16C57C, 512, 0, 0, PIC16
PIC16C58A, 2048, 0, 0, PIC16
PIC16C58B, 512, 0, 0, PIC16
PIC16C620, 512, 256, 0, PIC16
PIC16C620A, 512, 256, 0, PIC16
PIC16C621, 1024, 256, 0, PIC16
PIC16C621A, 1024, 256, 0, PIC16
PIC16C622, 2048, 256, 0, PIC16
PIC16C622A, 2048, 256, 0, PIC16
PIC16C62A, 2048, 256, 0, PIC16
PIC16C62B, 2048, 256, 0, PIC16
PIC16C63, 2048, 256, 0, PIC16
PIC16C63A, 2048, 256, 0, PIC16
PIC16C642, 2048, 256, 0, PIC16
PIC16C64A, 2048, 256, 0, PIC16
PIC16C65A, 2048, 256, 0, PIC16
PIC16C65B, 2048, 256, 0, PIC16
PIC16C66, 2048, 512, 0, PIC16
PIC16C662, 2048, 256, 0, PIC16
PIC16C67, 2048, 512, 0, PIC16
PIC16C710, 512, 256, 0, PIC16
PIC16C71, 1024, 256, 0, PIC16
PIC16C711, 1024, 256, 0, PIC16
PIC16C712, 1024, 256, 0, PIC16
PIC16C715, 2048, 256, 0, PIC16
PIC16C716, 2048, 256, 0, PIC16
PIC16C717, 2048, 512, 0, PIC16
PIC16C72, 2048, 0, 0, PIC16
PIC16C72A, 2048, 256, 0, PIC16
PIC16C73A, 2048, 256, 0, PIC16
PIC16C73B, 2048, 256, 0, PIC16
PIC16C745, 2048, 512, 0, PIC16
PIC16C74A, 2048, 256, 0, PIC16
PIC16C74B, 2048, 256, 0, PIC16
PIC16C76, 2048, 512, 0, PIC16
PIC16C765, 2048, 512, 0, PIC16
PIC16C770, 2048, 512, 0, PIC16
PIC16C771, 2048, 512, 0, PIC16
PIC16C77, 2048, 512, 0, PIC16
PIC16C773, 2048, 512, 0, PIC16
PIC16C774, 2048, 512, 0, PIC16
PIC16C781, 1024, 512, 0, PIC16
PIC16C782, 2048, 512, 0, PIC16
PIC16C923, 2048, 512, 0, PIC16
PIC16C924, 2048, 512, 0, PIC16
PIC16C925, 2048, 512, 0, PIC16
PIC16C926, 2048, 512, 0, PIC16
PIC16CE623, 512, 256, 0, PIC16
PIC16CE624, 1024, 256, 0, PIC16
PIC16CE625, 2048, 256, 0, PIC16
PIC16CR54, 512, 0, 0, PIC16
PIC16CR54A, 512, 0, 0, PIC16
PIC16CR54C, 512, 0, 0, PIC16
PIC16CR56A, 512, 0, 0, PIC16
PIC16CR57C, 512, 0, 0, PIC16
PIC16CR58B, 512, 0, 0, PIC16
PIC16CR620A, 512, 256, 0, PIC16
PIC16CR62, 2048, 256, 0, PIC16
PIC16CR63, 2048, 256, 0, PIC16
PIC16CR64, 2048, 256, 0, PIC16
PIC16CR65, 2048, 256, 0, PIC16
PIC16CR72, 2048, 0, 0, PIC16
PIC16CR73, 2048, 512, 0, PIC16
PIC16CR74, 2048, 512, 0, PIC16
PIC16CR76, 2048, 512, 0, PIC16
PIC16CR77, 2048, 512, 0, PIC16
PIC16CR83, 512, 256, 128, PIC16
PIC16CR84, 1024, 256, 128, PIC16
PIC16CR926, 2048, 0, 0, PIC16
PIC16F13113, 2048, 8192, 0, PIC16
PIC16F13114, 4096, 8192, 0, PIC16
PIC16F13115, 8192, 8192, 0, PIC16
PIC16F13123, 2048, 8192, 0, PIC16
PIC16F13124, 4096, 8192, 0, PIC16
PIC16F13125, 8192, 8192, 0, PIC16
PIC16F13143, 2048, 8192, 0, PIC16
PIC16F13144, 4096, 8192, 0, PIC16
PIC16F13145, 8192, 8192, 0, PIC16
PIC16F13254, 4096, 8192, 256, PIC16
PIC16F13255, 8192, 8192, 256, PIC16
PIC16F13256, 16384, 8192, 256, PIC16
PIC16F13274, 4096, 8192, 256, PIC16
PIC16F13275, 8192, 8192, 256, PIC16
PIC16F13276, 16384, 8192, 256, PIC16
PIC16F1454, 2048, 4096, 0, PIC16
PIC16F1455, 2048, 4096, 0, PIC16
PIC16F1459, 2048, 4096, 0, PIC16
PIC16F1503, 2048, 4096, 0, PIC16
PIC16F1507, 2048, 4096, 256, PIC16
PIC16F1508, 2048, 4096, 256, PIC16
PIC16F1509, 2048, 4096, 256, PIC16
PIC16F1512, 2048, 4096, 256, PIC16
PIC16F1513, 2048, 4096, 256, PIC16
PIC16F1516, 2048, 4096, 0, PIC16
PIC16F1517, 2048, 4096, 0, PIC16
PIC16F1518, 2048, 4096, 0, PIC16
PIC16F1519, 2048, 4096, 0, PIC16
PIC16F15213, 2048, 8192, 0, PIC16
PIC16F15214, 4096, 8192, 0, PIC16
PIC16F15223, 2048, 8192, 0, PIC16
PIC16F15224, 4096, 8192, 0, PIC16
PIC16F15225, 8192, 8192, 0, PIC16
PIC16F15243, 2048, 8192, 0, PIC16
PIC16F15244, 4096, 8192, 0, PIC16
PIC16F15245, 8192, 8192, 0, PIC16
PIC16F15254, 4096, 8192, 0, PIC16
PIC16F15255, 8192, 8192, 0, PIC16
PIC16F15256, 16384, 8192, 0, PIC16
PIC16F1526, 2048, 4096, 0, PIC16
PIC16F1527, 2048, 4096, 0, PIC16
PIC16F15274, 4096, 8192, 0, PIC16
PIC16F15275, 8192, 8192, 0, PIC16
PIC16F15276, 16384, 8192, 0, PIC16
PIC16F15313, 2048, 8192, 0, PIC16
PIC16F15323, 2048, 8192, 0, PIC16
PIC16F15324, 4096, 8192, 0, PIC16
PIC16F15325, 8192, 8192, 0, PIC16
PIC16F15344, 4096, 8192, 0, PIC16
PIC16F15345, 8192, 8192, 0, PIC16
PIC16F15354, 4096, 8192, 0, PIC16
PIC16F15355, 8192, 8192, 0, PIC16
PIC16F15356, 16384, 8192, 0, PIC16
PIC16F15375, 8192, 8192, 0, PIC16
PIC16F15376, 16384, 8192, 0, PIC16
PIC16F15385, 8192, 8192, 0, PIC16
PIC16F15386, 16384, 8192, 0, PIC16
PIC16F1574, 2048, 4096, 256, PIC16
PIC16F1575, 2048, 4096, 256, PIC16
PIC16F1578, 2048, 4096, 256, PIC16
PIC16F1579, 2048, 4096, 256, PIC16
PIC16F1613, 2048, 4096, 256, PIC16
PIC16F1614, 2048, 4096, 256, PIC16
PIC16F1615, 2048, 4096, 256, PIC16
PIC16F1618, 2048, 4096, 256, PIC16
PIC16F1619, 2048, 4096, 256, PIC16
PIC16F1703, 2048, 4096, 256, PIC16
PIC16F1704, 2048, 4096, 256, PIC16
PIC16F1705, 2048, 4096, 256, PIC16
PIC16F1707, 2048, 4096, 256, PIC16
PIC16F1708, 2048, 4096, 256, PIC16
PIC16F1709, 2048, 4096, 256, PIC16
PIC16F17114, 4096, 8192, 256, PIC16
PIC16F17115, 8192, 8192, 256, PIC16
PIC16F17124, 4096, 8192, 256, PIC16
PIC16F17125, 8192, 8192, 256, PIC16
PIC16F17126, 16384, 8192, 256, PIC16
PIC16F1713, 2048, 4096, 256, PIC16
PIC16F17144, 4096, 8192, 256, PIC16
PIC16F17145, 8192, 8192, 256, PIC16
PIC16F17146, 16384, 8192, 256, PIC16
PIC16F17154, 4096, 8192, 256, PIC16
PIC16F17155, 8192, 8192, 256, PIC16
PIC16F17156, 16384, 8192, 256, PIC16
PIC16F1716, 2048, 4096, 256, PIC16
PIC16F1717, 2048, 4096, 256, PIC16
PIC16F17174, 4096, 8192, 256, PIC16
PIC16F17175, 8192, 8192, 256, PIC16
PIC16F17176, 16384, 8192, 256, PIC16
PIC16F1718, 2048, 4096, 256, PIC16
PIC16F1719, 2048, 4096, 256, PIC16
PIC16F17524, 4096, 8192, 256, PIC16
PIC16F17525, 8192, 8192, 256, PIC16
PIC16F17526, 16384, 8192, 256, PIC16
PIC16F17544, 4096, 8192, 256, PIC16
PIC16F17545, 8192, 8192, 256, PIC16
PIC16F17546, 16384, 8192, 256, PIC16
PIC16F17554, 4096, 8192, 256, PIC16
PIC16F17555, 8192, 8192, 256, PIC16
PIC16F17556, 16384, 8192, 256, PIC16
PIC16F17574, 4096, 8192, 256, PIC16
PIC16F17575, 8192, 8192, 256, PIC16
PIC16F17576, 16384, 8192, 256, PIC16
PIC16F1764, 2048, 4096, 256, PIC16
PIC16F1765, 2048, 4096, 256, PIC16
PIC16F1768, 2048, 4096, 256, PIC16
PIC16F1769, 2048, 4096, 256, PIC16
PIC16F1773, 2048, 4096, 256, PIC16
PIC16F1776, 2048, 4096, 256, PIC16
PIC16F1777, 2048, 4096, 256, PIC16
PIC16F1778, 2048, 4096, 256, PIC16
PIC16F1779, 2048, 4096, 256, PIC16
PIC16F1782, 2048, 4096, 256, PIC16
PIC16F1783, 2048, 4096, 256, PIC16
PIC16F1784, 2048, 4096, 256, PIC16
PIC16F1786, 2048, 4096, 256, PIC16
PIC16F1787, 2048, 4096, 256, PIC16
PIC16F1788, 2048, 4096, 256, PIC16
PIC16F1789, 2048, 4096, 256, PIC16
PIC16F18013, 2048, 8192, 256, PIC16
PIC16F18014, 4096, 8192, 256, PIC16
PIC16F18015, 8192, 8192, 256, PIC16
PIC16F18023, 2048, 8192, 256, PIC16
PIC16F18024, 4096, 8192, 256, PIC16
PIC16F18025, 8192, 8192, 256, PIC16
PIC16F18026, 16384, 8192, 256, PIC16
PIC16F18044, 4096, 8192, 256, PIC16
PIC16F18045, 8192, 8192, 256, PIC16
PIC16F18046, 16384, 8192, 256, PIC16
PIC16F18054, 4096, 8192, 256, PIC16
PIC16F18055, 8192, 8192, 256, PIC16
PIC16F18056, 16384, 8192, 256, PIC16
PIC16F18074, 4096, 8192, 256, PIC16
PIC16F18075, 8192, 8192, 256, PIC16
PIC16F18076, 16384, 8192, 256, PIC16
PIC16F18114, 4096, 8192, 256, PIC16
PIC16F18115, 8192, 8192, 256, PIC16
PIC16F18124, 4096, 8192, 256, PIC16
PIC16F18125, 8192, 8192, 256, PIC16
PIC16F18126, 16384, 8192, 256, PIC16
PIC16F18144, 4096, 8192, 256, PIC16
PIC16F18145, 8192, 8192, 256, PIC16
PIC16F18146, 16384, 8192, 256, PIC16
PIC16F18154, 4096, 8192, 256, PIC16
PIC16F18155, 8192, 8192, 256, PIC16
PIC16F18156, 16384, 8192, 256, PIC16
PIC16F18174, 4096, 8192, 256, PIC16
